Date,price,prob_down,pred_ret,ret_1d
2008-02-19,926.6,0.5099601149559021,0.0047156414948403835,0.008633732795715332
2008-02-20,934.6,0.5103672742843628,0.00471924152225256,0.01230478286743164
2008-02-21,946.1,0.5107937455177307,0.0047129313461482525,-0.0014797449111938477
2008-02-22,944.7,0.5112285017967224,0.004702785983681679,-0.007515668869018555
2008-02-25,937.6,0.5116743445396423,0.004693855531513691,0.009065747261047363
2008-02-26,946.1,0.5121127367019653,0.0046799397096037865,0.012789368629455566
2008-02-27,958.2,0.512507975101471,0.004659851081669331,0.006574869155883789
2008-02-28,964.5,0.5128710865974426,0.004623262211680412,0.00787973403930664
2008-02-29,972.1,0.513181746006012,0.004568393342196941,0.009669780731201172
2008-03-03,981.5,0.5134287476539612,0.004510411527007818,-0.017931699752807617
2008-03-04,963.9,0.5136659741401672,0.004455355927348137,0.02313518524169922
2008-03-05,986.2,0.5139779448509216,0.004401772283017635,-0.011356711387634277
2008-03-06,975.0,0.5142296552658081,0.004346152301877737,-0.0028718113899230957
2008-03-07,972.2,0.5144325494766235,0.004291926510632038,-0.0023657679557800293
2008-03-10,969.9,0.514602780342102,0.004247961100190878,0.004433393478393555
2008-03-11,974.2,0.5147826075553894,0.004209850449115038,0.0047217607498168945
2008-03-12,978.8,0.5149131417274475,0.004161643795669079,0.01379239559173584
2008-03-13,992.3,0.5150585174560547,0.004114438779652119,0.005945801734924316
2008-03-14,998.2,0.5150907039642334,0.004063548054546118,0.0032057762145996094
2008-03-17,1001.4,0.5149861574172974,0.004004830028861761,0.0017974376678466797
2008-03-18,1003.2,0.5151560306549072,0.0039702001959085464,-0.05831336975097656
2008-03-19,944.7,0.5152015686035156,0.003941690549254417,-0.02656930685043335
2008-03-20,919.6,0.5151255130767822,0.003922126721590757,-0.0014136433601379395
2008-03-24,918.3,0.5150576233863831,0.003920848481357098,0.017750144004821777
2008-03-25,934.6,0.5149581432342529,0.0039234342984855175,0.015407681465148926
2008-03-26,949.0,0.5148571729660034,0.003926869481801987,-0.00021076202392578125
